Trustful 	Mandel	$$..
Forceful 	Yale	
Critical 	Ulysses	
Rational 	Wade	
Blinkered 	Herman	
Crappy 	Ogden	
Impartial 	Donald	
Cynical 	Miles	
Corrupt 	Lambert	
Able 	Harold	
Adaptable 	Evan	
Dashing 	Lambert	
Frugal 	Solomon	
Good 	Edison	
Humor 	Nicholas	
Amicable 	Lewis	
Objective 	Carter	
Capable 	Lou	
Ambitious 	Edgar	
Candid 	Regan	
Ingenious 	Nick	
Competent 	Tim	
Modest 	Julian	
Creative 	Colin	
Romantic 	Earl	
Crummy 	Ian	
Orderly 	Matt	
Honesty 	Tyrone	
Inventive 	Egbert	
Generous 	Vincent	
Good 	Leo	
Generous 	Quincy	
Frank 	Kennedy	
Dutiful 	Clare	
Crazy 	Marcus	
Genteel 	Meredith	
Crusty 	Jared	
Crummy 	Marlon	
Cruel 	Myron	
Friendly 	Paddy	
Crazy 	Ashbur	
Objective 	Alvin	
Able 	Nigel	
Helpful 	Steward	
Evil 	Milo	
Crusty 	Quintion	
Crummy 	Murphy	
Careful 	Yehudi	
Cruel 	Arnold	
Amicable 	Clare	
Discreet 	Arnold	
Radient 	Lou	
Cozy 	William	
Able 	Aldrich	
Brutal 	Ed	
Learned 	Noel	
Modest 	Mick	
Dependable 	Matt	
Coward 	Alger	
Beautiful 	Chasel	
Charitable 	Alvin	
Logical 	Rod	
Just 	Abraham	
Precise 	Ron	
Energetic 	Elroy	
Devoted 	Gene	
Dynamic 	Tobias	
Faithful 	Ellis	
Frugal 	Herman	
Learned 	Magee	
Just 	Carl	
Diplomatic 	Paul	
Liberal 	Matt	
Helpful 	Colby	
Learned 	Clare	
Honey 	Porter	
Cozy 	Richard	
Analytical 	Isaac	
Aspiring 	Steven	
Forceful 	Winfred	
Careful 	Taylor	
Crappy 	Lance	
Practical 	Gavin	
Cozy 	Theodore	
Crummy 	Lyndon	
Discreet 	Jeremy	
Reasonable 	Jacob	
Cruel 	Jay	
Enthusiastic 	Roy	
Discreet 	Mandel	
Active 	Nelson	
Coward 	Michell	
Hearty 	Sandy	
Crusty 	Gerald	
Radient 	Claude	
Humble 	Parker	
Frank 	Reginald	
Amicable 	Quincy	
Crusty 	Winfred	
Brave 	Stanford	
Adroit 	Page	
Motivated 	Kerr	
Analytical 	Asa	
Delicious 	Perry	
Earnest 	Webb	
Motivated 	Parker	
Alert 	Dylan	
Aspiring 	Tom	
Inventive 	Atwood	
Good 	Nick	
Orderly 	Michael	
Humorous 	Noel	
Adroit 	Paddy	
Realistic 	Ward	
Impartial 	Geoff	
Capable 	Kirk	
Creative 	Norman	
Greedy 	Humphrey	
Hateful 	Claude	
Crappy 	Edwiin	
Discreet 	Kim	
Honesty 	Herbert	
Careful 	Douglas	
Friendly 	Samuel	
Faceless 	Abraham	
Humble 	Lennon	
Liberal 	Mick	
Jump-up 	Scott	
Logical 	Steward	
Precise 	Ford	
Crude 	Jesse	
Candid 	Asa	
Learned 	Lucien	
Jump-up 	Tom	
Coward 	Cecil	
Crude 	Quincy	
Impartial 	Lionel	
Coward 	Marvin	
Humor 	Maxwell	
Evil 	Francis	
Hearty 	Andy	
Faithful 	Hilary	
Humble 	Theobald	
Generous 	Michael	
Frugal 	Toby	
Faceless 	Lyle	
Dashing 	Dwight	
Delicious 	Reg	
Earnest 	Alfred	
Generous 	Vivian	
Rational 	Phil	
Crude 	Douglas	
Just 	Leonard	
Faithful 	Oliver	
Clever 	Wayne	
Brutal 	Jack	
Confident 	Gene	
Frugal 	Oliver	
Logical 	Tyler	
Alert 	Vito	
Honey 	Gilbert	
Cunning 	Heather	
Careless 	Merlin	
Qualified 	Eugene	
Lovely 	Spencer	
Crusty 	Warner	
Corrupt 	Edwiin	
Good 	Channing	
Dedicated 	Myron	
Confident 	Payne	
Frugal 	Ogden	
Cozy 	Carl	
Devoted 	Meredith	
Cozy 	Ronald	
Careless 	Jeff	
Rapture 	Amos	
Adaptable 	Ogden	
Cuckoo 	Kennedy	
Confident 	John	
Crazy 	Lyndon	
Crude 	Orville	
Honesty 	Cedric	
Precise 	William	
Gentle 	Magee	
Capable 	Jerome	
Amicable 	Ted	
Lovely 	Jonas	
Beautiful 	Ashbur	
Dependable 	Drew	
Rational 	Sean	
Humorous 	Lucien	
Energetic 	Sandy	
Clever 	Lou	
Genteel 	Tyler	
Hearty 	Nicholas	
Apprehensive 	Les	
Nice 	Neil	
Greedy 	Theodore	
Honey 	Leonard	
Ingenious 	Monroe	
Earnest 	Gene	
Amicable 	Arlen	
Forceful 	Will	
Generous 	Aldrich	
Loyal 	Colbert	
Dedicated 	Chasel	
Crummy 	Webster	
Aspiring 	Harley	
Creative 	Ansel	
Generous 	Cedric	
Dishonest 	Gale	
Devoted 	Morgan	
Dishonest 	Walter	
Cozy 	Yale	
Jump-up 	Will	
Logical 	Arthur	
Dynamic 	Quintion	
Trustful 	Lionel	
Amiable 	Alvin	
Ambitious 	Kevin	
Generous 	Arthur	
Brutal 	Kim	
Adroit 	Saxon	
Crazy 	Hiram	
Evil 	Marvin	
Learned 	Roy	
Generous 	Adam	
Realistic 	King	
Cruel 	Woodrow	
Brave 	Aldrich	
Cynical 	Phil	
Rapture 	Matthew	
Adroit 	Tim	
Dishonest 	Gary	
Gentle 	Upton	
Ambitious 	Kerr	
Discreet 	Omar	
Amicable 	Max	
Adroit 	Wayne	
Radient 	Reginald	
Dedicated 	Lennon	
Crummy 	Claude	
Liberal 	Angelo	
Motivated 	Harley	
Good 	Jared	
Cynical 	Ives	
Energetic 	Marico	
Just 	Isidore	
Earnest 	Kerwin	
Amiable 	Clyde	
Amicable 	Leif	
Good 	Troy	
Careless 	Edwiin	
Orderly 	Andrew	
Faithful 	Victor	
Punctual 	Mike	
Charitable 	Kelly	
Logical 	Charles	
Ambitious 	Lester	
Ingenious 	Kirk	
Crazy 	Vito	
Nice 	Dwight	
Cruel 	Carl	
Objective 	York	
Able 	Merle	
Dashing 	Antony	
Purposeful 	Vito	
Critical 	Sid	
Devoted 	Kent	
Dishonest 	Atwood	
Radient 	Isidore	
Cunning 	Ives	
Rapture 	Winston	
Helpful 	Colin	
Charitable 	Troy	
Learned 	Todd	
Energetic 	Ziv	
Motivated 	Mark	
Punctual 	Omar	
Liberal 	Arlen	
Brave 	Marlon	
Dashing 	Gavin	
Cooperative 	Jim	
Dashing 	Quincy	
Humble 	Spencer	
Crude 	Sid	
Discreet 	Werner	
Motivated 	Hogan	
Unholiness 	Peter	
Friendly 	Wendell	
Lovely 	Sidney	
Hospitable 	Elton	
Confident 	Archer	
Rapture 	Simon	
Humorous 	Moore	
Greedy 	Ward	
Candid 	Verne	
Discreet 	Jacob	
Earnest 	Troy	
Impartial 	Giles	
Liberal 	Morgan	
Rapture 	Joyce	
Modest 	Cash	
Disciplined 	Stan	
Precise 	Abbott	
Crusty 	Michael	
Energetic 	Marsh	
Hearty 	Moore	
Expressive 	Alan	
Charitable 	James	
Cuckoo 	Primo	
Ingenious 	York	
Responsible 	Rod	
Crazy 	Omar	
Industrious 	Jo	
Honest 	Henry	
Honest 	Kelly	
Dynamic 	Jo	
Friendly 	Carter	
Honest 	Rachel	
Liberal 	Andy	
Friendly 	Troy	
Capable 	Murphy	
Devoted 	Robin	
Devoted 	Arlen	
Friendly 	Tyrone	
Confident 	Elmer	
Forceful 	Payne	
Alert 	Porter	
Genteel 	Augus	
Loyal 	Mick	
Discreet 	Antoine	
Rapture 	Steward	
Coward 	Woodrow	
Liberal 	Leonard	
Cozy 	Quintion	
Reasonable 	Roy	
Discreet 	Donald	
Able 	Page	
Violent 	Archer	
Dashing 	Edmund	
Realistic 	Murray	
Alert 	Kent	
Diplomatic 	Wade	
Dashing 	Simon	
Crude 	Wayne	
Orderly 	Carr	
Aspiring 	Abbott	
Beautiful 	Cliff	
Impartial 	Willie	
Qualified 	Walter	
Honesty 	Francis	
Faceless 	Alfred	
Crazy 	Saxon	
Amicable 	Winston	
Crazy 	Victor	
Dedicated 	Lynn	
Original 	Donald	
Crummy 	Reuben	
Corrupt 	Pete	
Aspiring 	Clyde	
Corrupt 	Giles	
Violent 	Ivan	
Diplomatic 	Tim	
Faceless 	Steven	
Original 	Carr	
Punctual 	Eden	
Dashing 	Addison	
Humor 	Herbert	
Just 	Jonathan	
Helpful 	Tyler	
Violent 	Murphy	
Hateful 	Jim	
Aspiring 	Amos	
Crazy 	Jerome	
Aspiring 	Wade	
Careful 	Jacob	
Initiative 	Giles	
Violent 	Colby	
Crappy 	Adair	
Hateful 	Robert	
Just 	Ken	
Hearty 	Evan	
Ingenious 	Victor	
Impartial 	Isaac	
Cunning 	Lou	
Liberal 	Ward	
Active 	Tracy	
Rational 	Tiffany	
Original 	Virgil	
Brave 	Ian	
Hearty 	Julius	
Brutal 	Leopold	
Corrupt 	Enoch	
Good 	Adam	
Brave 	Moses	
Generous 	Matt	
Crusty 	Patrick	
Faceless 	Yale	
Practical 	Hobart	
Expressive 	Lou	
Cozy 	Paddy	
Crusty 	Merle	
Gentle 	Lucien	
Dynamic 	Sid	
Loyal 	Reginald	
Punctual 	Phil	
Impartial 	Myron	
Dashing 	Page	
Crude 	August	
Hateful 	Walker	
Radient 	Dwight	
Objective 	Howar	
Honest 	Augustine	
Brutal 	Porter	
Hateful 	Cash	
Loyal 	Virgil	
Adaptable 	George	
Cooperative 	Tab	
Apprehensive 	Tab	
Discreet 	Arvin	
Friendly 	Archer	
Realistic 	Fitch	
Careless 	Mike	
Modest 	Gerald	
Humor 	Evan	
Faithful 	Yale	
Violent 	Duncan	
Radient 	Jack	
Adroit 	Morton	
Able 	Cash	
Greedy 	Marlon	
Precise 	Parker	
Capable 	Leif	
Delicious 	Tim	
Adroit 	Abbott	
Brave 	Rex	
Helpful 	Kyle	
Methodical 	Larry	
Careful 	Alan	
Critical 	Matt	
Evil 	Lance	
Brave 	Adonis	
Hospitable 	Phil	
Just 	Hogan	
Hearty 	Rudolf	
Radient 	Harley	
Aspiring 	Tyler	
Jump-up 	Neil	
Amiable 	Colby	
Crazy 	Harvey	
Critical 	Saxon	
Careless 	Ahern	
Industrious 	Hale	
Impartial 	Ira	
Good 	Kenneth	
Good 	King	
Frugal 	Yale	
Active 	Harlan	
Generous 	Uriah	
Coward 	Egbert	
Competent 	Ford	
Capable 	Orville	
Unholiness 	Ira	
Crappy 	Wendell	
Amicable 	Alva	
Honesty 	Patrick	
Dutiful 	Jim	
Just 	Frank	
Reasonable 	Cecil	
Faceless 	Hogan	
Loyal 	Cedric	
Qualified 	Stan	
Cozy 	Drew	
Devoted 	Norman	
Earnest 	Newman	
Diplomatic 	Quinn	
Humor 	Hyman	
Gentle 	Adonis	
Delicious 	Luther	
Devoted 	Scott	
Orderly 	Eric	
Honesty 	Ian	
Logical 	Ansel	
Helpful 	Carr	
Audacious 	Omar	
Crappy 	Giles	
Cruel 	Ulysses	
Efficient 	Ellis	
Brave 	Ken	
Cunning 	Harry	
Competent 	Merle	
Cunning 	Jeff	
Diplomatic 	Adam	
Helpful 	Wade	
Orderly 	Ford	
Constructive 	Ian	
Diplomatic 	Primo	
Romantic 	Payne	
Alert 	Emmanuel	
Crappy 	Abbott	
Honest 	Joyce	
Trustful 	Julian	
Cuckoo 	Rodney	
Dedicated 	Alfred	
Amiable 	Antonio	
Generous 	Conrad	
Orderly 	Parker	
Frugal 	Edmund	
Purposeful 	Miles	
Motivated 	Wright	
Forceful 	Paul	
Brutal 	Alan	
Reasonable 	Drew	
Honey 	Wythe	
Jump-up 	Norman	
Careless 	Vic	
Motivated 	Gene	
Original 	Noah	
Dashing 	Julian	
Honest 	Moses	
Adroit 	Andrew	
Frank 	Harley	
Dishonest 	Noel	
Honest 	Marlon	
Genteel 	Wythe	
Dashing 	Reg	
Hospitable 	York	
Helpful 	Lance	
Practical 	Rod	
Modest 	Theobald	
Dashing 	Adonis	
Dishonest 	Lennon	
Jump-up 	Ziv	
Humorous 	Wilbur	
Logical 	Rock	
Generous 	Donald	
Dishonest 	Werner	
Gentle 	Miles	
Discreet 	Hugo	
Violent 	Regan	
Good 	Milo	
Disciplined 	Roy	
Humorous 	Wayne	
Liberal 	Mandel	
Crusty 	Elroy	
Greedy 	Mick	
Careless 	Ivan	
Critical 	Winfred	
Good 	Leopold	
Honey 	Kyle	
Lovely 	Wright	
Ingenious 	Ansel	
Impartial 	Ed	
Gentle 	Regan	
Crummy 	Alvin	
Active 	Jo	
Dynamic 	Marvin	
Crude 	Abner	
Nice 	Walter	
Good 	Eden	
Forceful 	Thomas	
Gentle 	Alan	
Purposeful 	Lou	
Amiable 	Joshua	
Humor 	Stanford	
Humble 	Uriah	
Lovely 	Adair	
Lovely 	Kerr	
Lovely 	Les	
Energetic 	Amos	
Capable 	Mandel	
Honest 	Abel	
Nice 	Harry	
Jump-up 	Carr	
Honest 	Sidney	
Ingenious 	Matt	
Delicious 	Ron	
Practical 	Sandy	
Frank 	Phil	
Disciplined 	Asa	
Cruel 	Yehudi	
Dedicated 	Ron	
Aspiring 	Angelo	
Greedy 	Theobald	
Corrupt 	Neil	
Reasonable 	Gale	
Ambitious 	Justin	
Modest 	Hilary	
Motivated 	Ira	
Hearty 	Rod	
Crazy 	Isidore	
Precise 	Quinn	
Radient 	Tiffany	
Devoted 	Colin	
Romantic 	Robert	
Clever 	Sam	
Brave 	Julian	
Purposeful 	Hugh	
Creative 	Jeff	
Nice 	Toby	
Crappy 	Arlen	
Jump-up 	Mandel	
Crazy 	Steven	
Logical 	Joseph	
Dutiful 	Rock	
Gentle 	Milo	
Evil 	Timothy	
Dutiful 	Omar	
Humorous 	Michael	
Methodical 	Arlen	
Alert 	Adair	
Amicable 	Earl	
Competent 	Albert	
Expressive 	Tyler	
Radient 	Orville	
Romantic 	Todd	
Humorous 	Steward	
Careless 	Kelly	
Modest 	Mortimer	
Amiable 	Aldrich	
Amicable 	Verne	
Brutal 	Stanford	
Crazy 	Lance	
Crummy 	Milo	
Coward 	Lester	
Rational 	Omar	
Devoted 	Nelson	
Amiable 	Rodney	
Liberal 	Clyde	
Crude 	Howar	
Earnest 	York	
Cynical 	Ian	
Capable 	Chad	
Crude 	Morton	
Discreet 	Maxwell	
Frank 	Rudolf	
Frank 	Channing	
Generous 	Ansel	
Motivated 	Tyrone	
Practical 	Tim	
Earnest 	Hobart	
Romantic 	Quincy	
Learned 	Adonis	
Good 	Jack	
Modest 	Woodrow	
Cozy 	Haley	
Brutal 	Reginald	
Hospitable 	Webb	
Jump-up 	Marico	
Brave 	Nathaniel	
Audacious 	Noah	
Adaptable 	Leo	
Blinkered 	Lynn	
Cozy 	Matt	
Lovely 	Ives	
Reasonable 	Isaac	
Cynical 	Lester	
Beautiful 	Truman	
Adaptable 	Earl	
Alert 	Hugh	
Able 	Ivan	
Romantic 	Cliff	
Cruel 	Lionel	
Dutiful 	Alva	
Modest 	Samuel	
Evil 	Adonis	
Forceful 	Edmund	
Jump-up 	Merlin	
Dutiful 	Colbert	
Precise 	Xavier	
Original 	Nat	
Orderly 	Samuel	
Loyal 	Edgar	
Amiable 	Winfred	
Greedy 	Page	
Crude 	Verne	
Discreet 	Tracy	
Greedy 	Christ	
Competent 	Ashbur	
Honest 	Saxon	
Honesty 	Monroe	
Earnest 	Randolph	
Confident 	Arnold	
Objective 	Walter	
Humorous 	Amos	
Beautiful 	Arlen	
Honesty 	Ivan	
Radient 	Albert	
Candid 	Theobald	
Hearty 	Merlin	
Creative 	Sidney	
Evil 	Armand	
Romantic 	Norton	
Crappy 	Vito	
Careless 	Adam	
Objective 	Stev	
Brutal 	Paul	
Generous 	Leif	
Dishonest 	Peter	
Trustful 	Charles	
Forceful 	Murphy	
Generous 	Mandel	
Critical 	Len	
Brave 	Neil	
Trustful 	Tiffany	
Orderly 	Herbert	
Aspiring 	Raymond	
Capable 	Eric	
Devoted 	Kevin	
Dutiful 	Jacob	
Hospitable 	Jonas	
Impartial 	Jim	
Frank 	Elvis	
Crummy 	Leif	
Honey 	Ralap	
Logical 	Ernest	
Cunning 	Harvey	
Humorous 	Samuel	
Crusty 	Zebulon	
Able 	Winfred	
Objective 	Scott	
Hearty 	Elliot	
Clever 	William	
Confident 	Kerwin	
Objective 	Lyndon	
Precise 	Sam	
Coward 	Abel	
Dependable 	Elmer	
Punctual 	Kerwin	
Diplomatic 	Abner	
Jump-up 	Carter	
Evil 	Harlan	
Earnest 	Alvin	
Faceless 	Joseph	
Analytical 	Hardy	
Crappy 	Leopold	
Efficient 	Hilary	
Trustful 	Nigel	
Crude 	Nathan	
Brutal 	Warner	
Clever 	Wilbur	
Creative 	Vito	
Humor 	Ferdinand	
Romantic 	Magee	
Cozy 	Silvester	
Honest 	Louis	
Cuckoo 	Armand	
Romantic 	Noah	
Cozy 	Reuben	
Precise 	Reuben	
Cynical 	Robert	
Inventive 	Ryan	
Methodical 	Harry	
Crappy 	Ahern	
Trustful 	Frank	
Cruel 	Rock	
Humble 	Pete	
Discreet 	Hyman	
Aspiring 	Jeffrey	
Constructive 	Ron	
Faceless 	Pete	
Genteel 	Lambert	
Reasonable 	Alan	
Dependable 	Paddy	
Objective 	Hobart	
Evil 	Randolph	
Romantic 	Regan	
Impartial 	Wright	
Gentle 	Harley	
Cooperative 	Sean	
Discreet 	Harlan	
Punctual 	Troy	
Cunning 	Ronald	
Good 	Quintion	
Adroit 	Emmanuel	
Apprehensive 	Jay	
Nice 	Arlen	
Lovely 	Robin	
Generous 	Lennon	
Coward 	Harriet	
Humor 	Steward	
Faithful 	Eli	
Alert 	Kenneth	
Precise 	Theodore	
Able 	Frank	
Motivated 	Len	
Diplomatic 	Noel	
Ingenious 	Lewis	
Energetic 	Fitch	
Faithful 	Lambert	
Trustful 	Yale	
Amiable 	August	
Intelligent 	York	
Crusty 	Hardy	
Honey 	Stan	
Generous 	Evan	
Dutiful 	Clarence	
Clever 	Hilary	
Radient 	Toby	
Humor 	Ulysses	
Dependable 	Roy	
Dutiful 	Elliot	
Amiable 	Orville	
Dynamic 	Eugene	
Generous 	Haley	
Greedy 	Elton	
Careful 	Colby	
Genteel 	Kerwin	
Charitable 	Ralap	
Earnest 	Rudolf	
Brutal 	Amos	
Persevering 	Yves	
Candid 	Earl	
Intelligent 	Jeff	
Logical 	Zebulon	
Brave 	Murphy	
Trustful 	Isaac	
Candid 	Tracy	
Candid 	Jonas	
Crude 	Malcolm	
Friendly 	Julian	
Adroit 	Taylor	
Crummy 	Scott	
Candid 	Lambert	
Nice 	Jonathan	
Punctual 	Joyce	
Careful 	Troy	
Crummy 	Magee	
Coward 	Yves	
Honey 	Herbert	
Crude 	Regan	
Discreet 	Kerr	
Devoted 	Arvin	
Humorous 	Isidore	
Frugal 	Leonard	
Generous 	Francis	
Honest 	Leonard	
Crazy 	Ansel	
Gentle 	Orville	
Able 	Philip	
Nice 	Virgil	
Friendly 	Wright	
Reasonable 	York	
Humble 	Lewis	
Crazy 	Rachel	
Impartial 	Jeff	
Friendly 	Eugene	
Humorous 	Mandel	
Careless 	Noel	
Modest 	Kyle	
Romantic 	Marico	
Friendly 	Yehudi	
Brutal 	Jo	
Cynical 	Duke	
Faceless 	Jo	
Ingenious 	Ron	
Just 	Yehudi	
Faceless 	Marlon	
Delicious 	Wright	
Crusty 	Thomas	
Honey 	Lyle	
Charitable 	Merle	
Crude 	Lynn	
Nice 	Ron	
Careless 	Quincy	
Rapture 	Ira	
Dutiful 	Moses	
Competent 	Cecil	
Greedy 	Meredith	
Dynamic 	Harlan	
Original 	Albert	
Reasonable 	Lyle	
Helpful 	Gilbert	
Punctual 	Martin	
Forceful 	Nelson	
Beautiful 	Eugene	
Generous 	Ziv	
Crusty 	Simon	
Brave 	Sidney	
Crummy 	Douglas	
Punctual 	Alfred	
Persevering 	Mike	
Ingenious 	Perry	
Discreet 	Marlon	
Logical 	Quinn	
Initiative 	Neil	
Industrious 	Ron	
Earnest 	Carl	
Precise 	Tobias	
Active 	Harley	
Crummy 	Timothy	
Blinkered 	Henry	
Dedicated 	Nigel	
Romantic 	Winston	
Amicable 	Gerald	
Honey 	Pete	
Dutiful 	Marcus	
Rapture 	Tony	
Audacious 	Noel	
Rational 	Jacob	
Generous 	Tony	
Crazy 	Tab	
Brave 	Jay	
Active 	Maxwell	
Beautiful 	James	
Cynical 	Colby	
Analytical 	Augus	
Crude 	Yale	
Humorous 	Page	
Learned 	Jeremy	
Cozy 	Alvin	
Hateful 	Algernon	
Realistic 	Hale	
Objective 	Abbott	
Purposeful 	Elvis	
Evil 	Webster	
Devoted 	Larry	
Objective 	Archer	
Punctual 	Archer	
Clever 	Nicholas	
Crazy 	Hardy	
Energetic 	Ashbur	
Initiative 	Carr	
Clever 	Steward	
Liberal 	Robin	
Honest 	Alvin	
Efficient 	Werner	
Nice 	Marlon	
Intelligent 	Alan	
Dashing 	Arthur	
Frugal 	Earl	
Apprehensive 	Sam	
Radient 	Raymond	
Devoted 	Wilbur	
Able 	Stanford	
Brave 	Rory	
Humble 	Rory	
Loyal 	Henry	
Efficient 	Ahern	
Inventive 	Vito	
Rapture 	Duke	
Honesty 	Reuben	
Motivated 	Jason	
Methodical 	Alvin	
Cooperative 	Noel	
Inventive 	Paddy	
Critical 	Lynn	
Gentle 	Kirk	
Hearty 	Antonio	
Honest 	Jerry	
Cynical 	Jay	
Initiative 	Adair	
Generous 	Alston	
Humor 	Felix	
Aspiring 	Chad	
Rational 	Rupert	
Corrupt 	Gabriel	
Cuckoo 	Jerry	
Trustful 	Alston	
Violent 	Reuben	
Radient 	Phil	
Honey 	Regan	
Honest 	Xavier	
Honest 	Nigel	
Precise 	Duke	
Helpful 	Page	
Persevering 	Alan	
Dishonest 	Merle	
Delicious 	Larry	
Hospitable 	Elmer	
Jump-up 	Maxwell	
Honey 	Edwiin	
Cunning 	Conrad	
Careless 	Lucien	
Energetic 	Ira	
Good 	Taylor	
Humble 	Kent	
Radient 	Uriah	
Generous 	Carr	
Unholiness 	Moses	
Dynamic 	Larry	
Just 	Verne	
Discreet 	Abraham	
Realistic 	Cedric	
Able 	Alan	
Blinkered 	Kerr	
Hearty 	Edwiin	
Loyal 	August	
Hearty 	Lawrence	
Brutal 	Tyrone	
Loyal 	Maurice	
Amiable 	Primo	
Cynical 	Ryan	
Brave 	William	
Frugal 	Jared	
Precise 	Horace	
Dependable 	Ellis	
Honesty 	Edison	
Coward 	Hale	
Faceless 	Neil	
Ingenious 	Haley	
Crusty 	Ingram	
Hateful 	Richard	
Candid 	Max	
Hateful 	Antonio	
Able 	Quintion	
Cozy 	Antony	
Cynical 	Jerry	
Aggressive 	Joyce	
Precise 	Ronald	
Responsible 	Gene	
Crazy 	Elroy	
Orderly 	Kyle	
Lovely 	Webster	
Frank 	Marshall	
Honesty 	Winfred	
Honest 	Webster	
Just 	Toby	
Industrious 	Sam	
Cunning 	Rory	
Discreet 	Ernest	
Humor 	Douglas	
Humorous 	Atwood	
Earnest 	Rod	
Creative 	Marcus	
Brave 	Albert	
Amiable 	Ellis	
Forceful 	Tom	
Loyal 	Eugene	
Brutal 	Mike	
Devoted 	Martin	
Crude 	Archibald	
Rapture 	Julian	
Confident 	Myron	
Generous 	Mark	
Crusty 	Nat	
Crude 	Rachel	
Forceful 	Duke	
Active 	Kelly	
Honesty 	Hobart	
Earnest 	Abel	
Humor 	Tim	
Corrupt 	Hobart	
Jump-up 	Lou	
Intellective 	Max	
Honey 	Gerald	
Dashing 	Tracy	
Nice 	Kennedy	
Cuckoo 	Conrad	
Active 	John	
Modest 	Theodore	
Honey 	Aaron	
Cynical 	Roderick	
Coward 	Marcus	
Competent 	Moses	
Amiable 	Ronald	
Inventive 	Drew	
Cunning 	Jerry	
Coward 	Vincent	
Cruel 	Herman	
Humble 	Sebastian	
Amicable 	York	
Crazy 	Hamiltion	
Hearty 	Willie	
Modest 	Wendell	
Confident 	Joseph	
Careless 	Kenneth	
Responsible 	Milo	
Modest 	Marsh	
Genteel 	Tobias	
Honest 	Stan	
Honesty 	Levi	
Adroit 	Mike	
Hearty 	Porter	
Radient 	Wayne	
Dutiful 	Ryan	
Dashing 	Augus	
Jump-up 	Ogden	
Competent 	Armand	
Able 	Hugh	
Brutal 	Adair	
Nice 	Ziv	
Amicable 	Hubery	
Creative 	Lyndon	
Crude 	Sebastian	
Adroit 	Wilbur	
Dishonest 	Scott	
Forceful 	Wythe	
Friendly 	Hunter	
Ambitious 	Ralap	
Crusty 	Abner	
Realistic 	Xavier	
Evil 	Magee	
Lovely 	Edmund	
Precise 	Enoch	
Charitable 	Kim	
Radient 	Stev	
Crummy 	Norman	
Greedy 	Pete	
Constructive 	Sid	
Adaptable 	Ron	
Cynical 	Maurice	
Helpful 	Magee	
Crude 	Clare	
Cuckoo 	Antony	
Faithful 	Mike	
Helpful 	Perry	
Ingenious 	Roy	
Reasonable 	Clare	
Hearty 	Abner	
Faithful 	Webster	
Faceless 	Joshua	
Qualified 	Ryan	
Beautiful 	Roy	
Precise 	Kyle	
Hearty 	Chapman	
Critical 	Magee	
Candid 	Gerald	
Crummy 	Andy	
Methodical 	Giles	
Helpful 	Harold	
Hateful 	Lyndon	
Trustful 	Miles	
Ambitious 	Myron	
Radient 	Mandel	
Friendly 	Alva	
Blinkered 	Augus	
Practical 	Victor	
Amiable 	Tyler	
Good 	Lionel	
Generous 	Kerwin	
Trustful 	Archer	
Creative 	Samuel	
Capable 	Murray	
Evil 	Louis	
Analytical 	Gene	
Dynamic 	Noel	
Liberal 	Ogden	
Impartial 	Christ	
Able 	Channing	
Charitable 	York	
Impartial 	Dunn	
Honey 	Mike	
Amicable 	Neil	
Responsible 	Yves	
Helpful 	Quintion	
Rapture 	Webster	
Qualified 	Uriah	
Creative 	Abner	
Faceless 	Joyce	
Crude 	Michael	
Ingenious 	Adam	
Capable 	Hogan	
Coward 	Jim	
Crusty 	Harley	
Lovely 	Tiffany	
Rational 	Max	
Audacious 	Hugh	
Capable 	Porter	
Active 	Nick	
Efficient 	Tracy	
Honesty 	Duke	
Generous 	Steward	
Delicious 	Arvin	
Adroit 	Virgil	
Persevering 	Ward	
Realistic 	Evan	
Humble 	Tony	
Analytical 	Yale	
Competent 	Milo	
Hearty 	Lyle	
Generous 	John	
Honey 	Luther	
Rapture 	Frank	
Amiable 	Tracy	
Dishonest 	Dunn	
Faceless 	Rupert	
Helpful 	Hugh	
Realistic 	Egbert	
Clever 	Alfred	
Cynical 	Levi	
Delicious 	Dunn	
Adaptable 	Peter	
Delicious 	Oliver	
Dedicated 	Pete	
Faceless 	Adonis	
Confident 	Jeff	
Brave 	Uriah	
Generous 	Abbott	
Violent 	Woodrow	
Ambitious 	Tyler	
Dynamic 	Payne	
Clever 	Tab	
Crummy 	Morton	
Critical 	Will	
Generous 	Hyman	
Practical 	Hyman	
Lovely 	Uriah	
Coward 	Adolph	
Aggressive 	Saxon	
Rational 	Timothy	
Ingenious 	Ziv	
Intelligent 	Jack	
Precise 	Algernon	
Generous 	Roy	
Gentle 	Cash	
Critical 	Norton	
Motivated 	Newman	
Hearty 	Walker	
Forceful 	Edwiin	
Rational 	Larry	
Objective 	Lynn	
Logical 	Drew	
Learned 	Regan	
Friendly 	Ingram	
Lovely 	Sampson	
Brave 	Nigel	
Beautiful 	Hugo	
Learned 	Ives	
Audacious 	Xavier	
Gentle 	Alger	
Just 	Winston	
Learned 	Murphy	
Frugal 	Elton	
Helpful 	Cash	
Hateful 	Lucien	
Delicious 	Alvin	
Amicable 	Gabriel	
Crusty 	Harvey	
Amiable 	Drew	
Careful 	Todd	
Just 	Nathaniel	
Inventive 	Chasel	
Careful 	Martin	
Adroit 	Patrick	
Frank 	Moore	
Delicious 	Saxon	
Beautiful 	Morgan	
Cruel 	Rory	
Lovely 	George	
Cynical 	Isidore	
Amicable 	Moses	
